Tool,Bench,Class,Time_mean,Time_std,Mops_mean,Mops_std,Time_slowdown_mean,Time_slowdown_std,Variant
cadna,bt,A,2821.7533333333336,8.22676323552212,59.64333333333334,0.1750238079043386,58.59230103662737,0.3389654009844839,
cadna,bt,S,4.573333333333333,0.011547005383792781,49.98666666666667,0.10969655114603026,64.14285714285714,12.881546505090602,
cadna,cg,A,19.94666666666667,2.079815696962915,75.58999999999999,8.02919049468874,16.63079788895026,1.8380250186389555,
cadna,cg,S,0.7533333333333333,0.02081665999466133,88.99000000000001,2.6208967930843814,18.833333333333332,0.5204164998665327,
cadna,ep,A,28.94333333333333,0.04041451884327397,18.55333333333333,0.025166114784234413,1.7379929644272716,0.0038170174554569224,
cadna,ep,S,1.9433333333333334,0.17897858344878395,17.426666666666666,1.5387115822444875,1.8507936507936507,0.17045579376074654,
cadna,ft,A,154.06333333333333,0.19425069712445267,46.326666666666675,0.056862407030772784,39.92308587594621,0.7649122279147513,
cadna,ft,S,3.8666666666666667,0.005773502691896263,45.906666666666666,0.03055050463303867,42.96296296296296,0.06415002990996024,
cadna,lu,A,1974.4766666666667,6.259627251948311,60.42666666666667,0.1934769581457541,55.277697929821706,0.7663263026058811,
cadna,lu,S,1.7333333333333334,0.03785938897200188,59.1,1.2782409788455396,52.88888888888889,7.7626837665371395,
cadna,mg,A,52.663333333333334,0.39119475115769947,73.92333333333333,0.5537448269133837,53.562949078413,0.9445600748124707,
cadna,mg,S,0.13,0.01732050807568877,61.696666666666665,9.429211702646906,21.666666666666668,2.886751345948128,
cadna,sp,A,1127.7166666666665,2.909404291832494,75.39,0.19157244060667877,45.83053644318043,0.2308979114123167,
cadna,sp,S,1.2,0.0,80.88333333333333,0.07505553499464344,43.333333333333336,15.275252316519467,
ieee,bt,A,48.16,0.26457513110645914,3494.306666666667,19.389990544952205,1.0,0.0,
ieee,bt,S,0.07333333333333333,0.015275252316519466,3195.6766666666667,583.4192096883108,1.0,0.0,
ieee,cg,A,1.2,0.026457513110645908,1246.61,31.033267633299666,1.0,0.0,
ieee,cg,S,0.04,0.0,1573.0833333333333,26.582069771432938,1.0,0.0,
ieee,ep,A,16.653333333333332,0.020816659994663728,32.24,0.04358898943540662,1.0,0.0,
ieee,ep,S,1.05,0.0,31.956666666666667,0.04041451884327309,1.0,0.0,
ieee,ft,A,3.86,0.07810249675906673,1848.6666666666667,38.26054015997864,1.0,0.0,
ieee,ft,S,0.09000000000000001,0.0,1990.0433333333333,32.261618578945026,1.0,0.0,
ieee,lu,A,35.723333333333336,0.45632590692764025,3339.793333333333,42.749498632537296,1.0,0.0,
ieee,lu,S,0.03333333333333333,0.005773502691896259,3042.896666666666,186.20968941849736,1.0,0.0,
ieee,mg,A,0.9833333333333334,0.011547005383792509,3968.456666666667,50.205075772608176,1.0,0.0,
ieee,mg,S,0.006000000000000001,0.0,4532.696666666667,224.34303919072954,1.0,0.0,
ieee,sp,A,24.606666666666666,0.14468356276140207,3454.683333333333,20.393220278644662,1.0,0.0,
ieee,sp,S,0.03,0.01,3443.9366666666665,788.5144405357031,1.0,0.0,
prism_sr_dynamic,bt,A,971.36,9.616116679824506,173.25666666666666,1.7182064291968355,20.169112651220505,0.09025223899457444,sr
prism_sr_dynamic,bt,S,1.4133333333333333,0.02516611478423592,161.78666666666666,3.1724175849552556,19.83862433862434,4.077468008442536,sr
prism_sr_dynamic,cg,A,1.2066666666666668,0.046188021535170085,1240.79,49.53814388933031,1.0053289608526337,0.017033892805237243,sr
prism_sr_dynamic,cg,S,0.04,0.0,1585.8633333333335,112.8948326245862,1.0,0.0,sr
prism_sr_dynamic,ep,A,154.52333333333334,1.306152109569673,3.4766666666666666,0.032145502536643195,9.278795996439829,0.07249809102813641,sr
prism_sr_dynamic,ep,S,9.656666666666666,0.0450924975282289,3.473333333333333,0.01527525231651959,9.196825396825396,0.04294523574117027,sr
prism_sr_dynamic,ft,A,316.98,1.7926795586495798,22.516666666666666,0.12701705922171727,82.13515578926946,1.1854965397151185,sr
prism_sr_dynamic,ft,S,7.923333333333333,0.0513160143944688,22.353333333333335,0.13868429375143024,88.03703703703705,0.5701779377163205,sr
prism_sr_dynamic,lu,A,1746.0,16.225520022483067,68.33,0.6421059102671391,48.88160749543248,0.8351050454476218,sr
prism_sr_dynamic,lu,S,1.5200000000000002,0.009999999999999953,67.39999999999999,0.4948737212663494,46.416666666666664,7.074504301441275,sr
prism_sr_dynamic,mg,A,55.45666666666667,0.4643633634701751,70.18666666666667,0.5909596714948708,56.40233954666945,0.8669027998057451,sr
prism_sr_dynamic,mg,S,0.11333333333333333,0.005773502691896256,65.94666666666666,1.4788621752324733,18.88888888888889,0.9622504486493765,sr
prism_sr_dynamic,sp,A,690.4033333333333,1.473917682007189,123.13,0.2622975409720855,28.058432993571046,0.2211078908344647,sr
