Left-Thalamus,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,Left-Cerebral-White-Matter,CSF,Left-Accumbens-area,Left-VentralDC,Left-Cerebral-Cortex,Left-choroid-plexus,Left-Lateral-Ventricle,Right-Cerebral-White-Matter,Right-Cerebral-Cortex,Right-Lateral-Ventricle,Right-Inf-Lat-Vent,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus,Left-Inf-Lat-Vent,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Right-choroid-plexus,Left-Cerebellum-White-Matter,WM-hypointensities,Left-Cerebellum-Cortex,subjectID
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999997687267715,1.0,1.0,1.0,0.9999979390664383,1.0,1.0,0.9999953785648595,0.9999937809011474,1.0,1.0,1.0,0.9999906271381841,1.0,1.0,1.0,1.0,1.0,0.9998758535071384,1.0,1.0,1.0,0.9992464204973625,1.0,1.0,0.9999906492243532,sub-0003002
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999970381866594,1.0,1.0,1.0,0.9999872954030533,1.0,1.0,0.9999941281817915,0.9999894271860879,1.0,1.0,0.9999547940870666,0.999946972669714,1.0,1.0,1.0,0.9999004083258639,1.0,1.0,1.0,1.0,1.0,1.0,0.9999575137018312,0.9995410738871042,0.9999692525289795,sub-0025011
1.0,0.9998494202680319,0.9999132019789949,1.0,1.0,1.0,0.9999421296296296,1.0,1.0,0.9999903039235174,1.0,1.0,0.9997456118036123,0.9999909654174248,1.0,1.0,0.999995049112801,0.9999946086897139,1.0,1.0,0.9999200575585578,0.9999796698381719,1.0,1.0,1.0,1.0,1.0,0.9998783602968009,1.0,1.0,1.0,0.9985815602836879,1.0,1.0,1.0,sub-0025248
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999998130620989,1.0,1.0,1.0,0.9999947415009509,0.99933818663137,0.9999466011640946,1.0,0.9999964505274517,0.9999458141425088,1.0,1.0,0.9999718655925575,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996548153261995,0.9999636284280207,sub-0025350
1.0,1.0,1.0,1.0,1.0,1.0,0.9999754595204791,1.0,1.0,0.9999960117096206,1.0,1.0,1.0,0.9999943556079857,1.0,1.0,0.9999920862284547,0.9999870119508606,0.9999363016752659,1.0,0.9999044068444699,0.9999767339056792,1.0,1.0,0.9998897342595655,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999701821868384,0.9997801714662563,0.9999841332804442,sub-0025531
