,tool,mode,iterations,mean,std
0,prism_sr,perf,284,6.227950731913249,1.1239159602905073e-06
0,prism_ud,dbg,1097498,14.450555801391602,0.00022600404594026372
0,verrou_cestac,perf,1149,7.624308904012044,7.193062145859248e-06
0,verificarlo,perf,8302,9.601507822672525,1.8790584190536052e-05
0,verrou_cestac,dbg,10000000,21.57389259338379,0.0008064138290498694
0,verrou_sr,perf,141,5.5295179684956866,9.79807218387759e-07
0,verrou_cestac,dbg,3274,8.671147982279459,1.0132711696948513e-05
0,baseline_float,perf,2915,8.555018424987793,0.0
0,baseline_double,perf,42292,11.229580879211426,0.0
0,baseline_double,dbg,2782559,15.416097640991211,0.0
0,cadna,dbg,1747528,14.841150966666667,0.016543898592599676
0,prism_ud,dbg,642,7.042596022288005,5.959934634924785e-06
0,verrou_cestac,dbg,6579,9.36893367767334,3.805945211144905e-05
0,verrou_sr,dbg,1291,7.740778764088948,7.203591151952527e-06
0,prism_sr,perf,21049,10.531879742940268,2.2261481475844826e-05
0,sr,perf,178,5.761807123819987,2.5331779242371287e-06
0,baseline_double,dbg,141,5.529517650604248,0.0
0,baseline_float,dbg,120450,12.276269912719727,0.0
0,sr,dbg,546227,13.788160641988119,0.00014645931683012744
0,sr,perf,2782559,15.41712506612142,0.0008873956453549871
0,prism_sr,perf,811,7.276102383931478,3.899842626694137e-06
0,prism_ud,perf,1232846,14.579387029012045,0.000608588858870039
0,cadna,perf,120450,12.275293066666668,0.0011416613342939686
0,prism_sr,dbg,215443,12.85761833190918,0.0001777129718230055
0,cadna,perf,453,6.694218956666667,1.960175729225591e-06
0,baseline_float,dbg,170735,12.624217987060547,0.0
0,verrou_cestac,dbg,613590,13.895567893981934,0.0004158924016179823
0,verrou_cestac,perf,10000000,21.572109858194988,0.0005381615704907787
0,prism_sr,dbg,2310,8.322453180948893,7.235086235517529e-06
0,prism_ud,perf,2056,8.206003189086914,1.8704338942662114e-05
0,verificarlo,perf,722,7.159929116566976,2.9221814967553196e-06
0,cadna,dbg,4132,8.903854693333333,3.841740693468204e-05
0,verrou_cestac,dbg,319,6.343979835510254,2.0230487285229133e-06
0,prism_ud,dbg,572,6.927241961161296,4.6774352294801585e-06
0,cadna,dbg,305385,13.2017416,0.0028868764261737842
0,cadna,perf,359,6.461935843333333,1.1884256624314727e-06
0,verrou_cestac,perf,112,5.300174554189046,1.7556128529210507e-06
0,sr,perf,42292,11.229627927144369,3.953117766497247e-05
0,sr,dbg,100,5.187377452850342,7.786718186642895e-07
0,baseline_float,perf,16681,10.299273490905762,0.0
0,baseline_float,perf,21049,10.531847953796387,0.0
0,cadna,dbg,75646,11.8107793,0.0007176790694080827
0,verrou_sr,perf,242012,12.974064191182455,0.00034956756846272173
0,verrou_sr,perf,305385,13.206657409667969,0.00013699092552568073
